Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Netherlands,Europe,17138756,56982,,6153,,,,,37,3325,359,1079860,63007,Europe
Singapore,Asia,5854932,54555,,27,,48031,,6497,,9318,5,1474372,251817,WesternPacific
Guatemala,North America,17946899,54339,,2119,,42070,,10150,5,3028,118,172712,9624,Americas
Portugal,Europe,10193593,52061,,1743,,37840,,12478,42,5107,171,1705474,167308,Europe
Poland,Europe,37842302,49515,,1774,,35642,,12099,72,1308,47,2374686,62752,Europe
Nigeria,Africa,206606300,45244,,930,,32430,,11884,7,219,5,306894,1485,Africa
Honduras,North America,9919704,45098,,1423,,6116,,37559,52,4546,143,109292,11018,Americas
Bahrain,Asia,1706669,42889,,156,,39945,,2788,41,25130,91,876700,513691,EasternMediterranean
Japan,Asia,126435859,42263,,1026,,28877,,12360,115,334,8,938739,7425,WesternPacific
Armenia,Asia,2963811,39819,,772,,31556,,7491,,13435,260,171600,57898,Europe
Ghana,Africa,31133483,39642,,199,,36384,,3059,7,1273,6,405817,13035,Africa
Kyrgyzstan,Asia,6534479,38659,,1447,,30099,,7113,24,5916,221,267718,40970,Europe
Afghanistan,Asia,39009447,36896,,1298,,25840,,9758,31,946,33,90396,2317,EasternMediterranean
Switzerland,Europe,8660952,36108,,1985,,31600,,2523,23,4169,229,822764,94997,Europe
Algeria,Africa,43926079,33626,,1273,,23238,,9115,57,766,29,,,Africa
Azerbaijan,Asia,10148243,33247,,479,,29275,,3493,66,3276,47,766179,75499,Europe
Morocco,Africa,36953359,29644,,449,,20553,,8642,31,802,12,1383816,37448,EasternMediterranean
Uzbekistan,Asia,33516027,28315,,175,,19291,,8849,228,845,5,1377915,41112,Europe
Serbia,Europe,8733665,27332,,621,,14047,,12664,120,3129,71,723137,82799,Europe
Moldova,Europe,4032983,26628,,828,,18676,,7124,362,6603,205,128076,31757,Europe
Ireland,Europe,4943200,26372,,1768,,23364,,1240,5,5335,358,652917,132084,Europe
Kenya,Africa,53881160,24411,,399,,10444,,13568,44,453,7,335318,6223,Africa
Venezuela,South America,28427499,22299,,195,,12146,,9958,42,784,7,1567431,55138,Americas
Nepal,Asia,29186486,21750,,65,,15389,,6296,,745,2,731977,25079,South-EastAsia
Austria,Europe,9011577,21696,,719,,19596,,1381,25,2408,80,937275,104008,Europe
Costa Rica,North America,5098730,21070,,200,,7038,,13832,103,4132,39,96110,18850,Americas
Ethiopia,Africa,115223736,20900,,365,,9027,,11508,185,181,3,468814,4069,Africa
Australia,Australia/Oceania,25528864,19890,,255,,10941,,8694,52,779,10,4631419,181419,WesternPacific
El Salvador,North America,6489514,19126,,513,,9236,,9377,509,2947,79,251271,38720,Americas
Czechia,Europe,10711019,17731,,390,,12320,,5021,17,1655,36,728670,68030,Europe
Cameroon,Africa,26606188,17718,,391,,15320,,2007,30,666,15,149000,5600,Africa
Ivory Coast,Africa,26437950,16447,,103,,12484,,3860,,622,4,104584,3956,Africa
S. Korea,Asia,51273732,14519,20,303,1,13543,42,673,18,283,6,1613652,31471,WesternPacific
Denmark,Europe,5794279,14306,,617,,12787,,902,2,2469,106,1654512,285542,Europe
Palestine,Asia,5112340,13398,,92,,6907,,6399,,2621,18,200280,39176,EasternMediterranean
Bosnia and Herzegovina,Europe,3278650,13396,,384,,7042,,5970,,4086,117,147021,44842,Europe
Bulgaria,Europe,6942854,13014,,435,,7374,,5205,47,1874,63,294087,42358,Europe
Madagascar,Africa,27755708,12526,,134,,10148,,2244,88,451,5,46301,1668,Africa
Sudan,Africa,43943536,11780,,763,,6194,,4823,,268,17,401,9,EasternMediterranean
North Macedonia,Europe,2083365,11399,,517,,7480,,3402,3,5471,248,109946,52773,Europe
Senegal,Africa,16783877,10715,,223,,7101,,3391,33,638,13,114761,6838,Africa
Norway,Europe,5425471,9468,,256,,8857,,355,3,1745,47,472841,87152,Europe
DRC,Africa,89802183,9309,,215,,8048,,1046,,104,2,,,Africa
Malaysia,Asia,32406372,9038,,125,,8713,,200,2,279,4,991333,30591,WesternPacific
French Guiana,South America,299385,8127,,47,,7240,,840,23,27146,157,41412,138324,
Gabon,Africa,2230563,7787,,51,,5609,,2127,11,3491,23,85369,38272,Africa
Tajikistan,Asia,9557468,7665,,62,,6443,,1160,,802,6,,,Europe
Guinea,Africa,13164905,7664,,49,,6757,,858,24,582,4,14407,1094,Africa
Haiti,North America,11416103,7544,,171,,4832,,2541,,661,15,18443,1616,Americas
Finland,Europe,5541604,7532,,331,,6980,,221,,1359,60,389500,70287,Europe
Zambia,Africa,18430129,7164,,199,,5786,,1179,,389,11,90307,4900,Africa
Luxembourg,Europe,626952,7073,,119,,5750,,1204,9,11282,190,623994,995282,Europe
Mauritania,Africa,4660728,6444,,157,,5291,,996,3,1383,34,57387,12313,Africa
Paraguay,South America,7141091,6375,,66,,4974,,1335,23,893,9,135277,18943,Americas
Albania,Europe,2877470,6016,,188,,3155,,2673,23,2091,65,38997,13553,Europe
Lebanon,Asia,6822220,5672,,70,,1974,,3628,46,831,10,345268,50609,EasternMediterranean
Croatia,Europe,4102577,5404,,155,,4688,,561,7,1317,38,125317,30546,Europe
Djibouti,Africa,989387,5330,,59,,5057,,214,,5387,60,59909,60552,EasternMediterranean
Greece,Europe,10417673,5123,,210,,1374,,3539,14,492,20,619393,59456,Europe
